gisjoin,centroid_lat,centroid_lon,lat_sq,lon_sq,lat_x_lon
G3900070,41.70724667815908,-80.74844734581224,1739.4944254728116,6520.311748759412,-3367.795412330131
G5300030,46.191644998754626,-117.20306159563756,2133.668067690973,13736.557647390811,-5413.802213992863
G2200070,29.9007150371451,-91.06255423929105,894.0527597325552,8292.388784583822,-2722.835484863611
G4800130,28.89348285060377,-98.5269698295946,834.8333512381342,9707.563783801848,-2846.7873130933467
G2000050,39.53080435169682,-95.31692841316926,1562.6844926921324,9085.316842121234,-3767.954848505686
G2900050,40.43067852962315,-95.4268360177698,1634.6397663657303,9106.281032362327,-3858.171730133515
G3900090,39.33382299789896,-82.04502242761706,1547.1496316300447,6731.3857051481855,-3227.144390026539
G1300030,31.297129361451898,-82.8799484510495,979.5103062674542,6869.0858552486225,-2593.904468142961
G3400010,39.482258083541694,-74.67646435997621,1558.8487033753934,5576.574329306797,-2948.395438626984
G4000050,34.37364086637718,-96.03804596826043,1181.5471864106753,9223.306273401704,-3301.177301621607
G2800070,33.086271281766805,-89.58167586642914,1094.7013473306667,8024.876651037973,-2963.923629591977
G2900070,39.21586790962968,-91.84152464495956,1537.8842959055228,8434.865649110714,-3601.6450990957333
G1900090,41.6844609959501,-94.9057722920705,1737.5942885228849,9007.105614354336,-3956.095963399334
G3900110,40.56094109968697,-84.22181250813182,1645.1899428922757,7093.313702154909,-3416.115976451214
G5100150,38.162857789248186,-79.12892125220759,1456.403714642381,6261.3861785380695,-3019.785768764617
G4600030,43.7177995283157,-98.56154040861476,1911.2459955980005,9714.377247719,-4308.893664785807
G4800150,29.886942266585855,-96.27766818310812,893.229318046236,9269.389390776672,-2877.4451105500625
G0100010,32.53491398447342,-86.64277357915675,1058.520627977084,7506.970213489023,-2818.9151857740712
G3700110,36.07657230472357,-81.92246216998151,1301.5190692579476,6711.289807992052,-2955.4816298563196
G2200090,31.07618126214673,-92.00137999342336,965.7290418377992,8464.253920694282,-2859.051561043264
G0800090,37.31910319034022,-102.56047224256392,1392.7154629312618,10518.650466617724,-3827.4648468702662
G1300050,31.55368875879591,-82.45260813217747,995.6352742869636,6798.432587798419,-2601.683934353693
G4800170,34.06836903046214,-102.82986922902153,1160.6537683957515,10573.982005657668,-3503.2459322484683
G1200030,30.331003380282045,-82.28448678542703,919.9697660546808,6770.736765541116,-2495.771046833561
G1300070,31.325935024257067,-84.44503778229874,981.3142051439756,7130.964406053862,-2645.3197666892233
G4100010,44.70909928533792,-117.67638006119394,1998.9035589062037,13847.730424306565,-5261.204959695079
G0100030,30.733970238812702,-87.72243092222604,944.5769266402252,7695.224886904719,-2696.0585812399986
G1300090,33.068941506469024,-83.24982196450182,1093.55489235827,6930.532857121249,-2752.983492968071
G2100070,37.05826783405603,-88.99946654349844,1373.315214860632,7920.905045027299,-3298.166068257074
G2400050,39.46609179103372,-76.64364450604783,1557.5724012582991,5874.248243169436,-3024.825109275041
G2405100,39.30840736639845,-76.61595691744874,1545.150889682728,5870.004854376361,-3011.651245277508
G4500090,33.21473655640328,-81.05417353528887,1103.2187245112725,6569.779047488722,-2692.1930207716146
G4800190,29.74735637381479,-99.24611193192302,884.9052112307394,9849.790733603792,-2952.3094603544264
G1300110,34.354108409683,-83.49733342876735,1180.2047646242522,6971.80468971475,-2868.4764445313217
G3100070,41.54600468269618,-103.71047873918764,1726.0705050946128,10755.863400311491,-4308.756035342953
G1600050,42.66786605271465,-112.22389628221886,1820.5467934923993,12594.202896762215,-4788.354174483456
G2600130,46.662221780091095,-88.36543566689944,2177.3629414544075,7808.450220600945,-4123.327556783233
G2000070,37.228750697690295,-98.68473570237931,1385.9798785107755,9738.67706064846,-3673.909423131337
G0100050,31.86954239516374,-85.39343258521191,1015.667732477139,7292.038328685131,-2721.449620042968
G5400010,39.13288798228273,-80.00303461320333,1531.3829218338883,6400.485547321409,-3130.749791761174
G3800030,46.93565865449764,-98.0715112092761,2202.956053331519,9618.021310871169,-4603.050973849322
G2500010,41.7261732358894,-70.2984481322836,1741.0735329114527,4941.871809807367,-2933.2852249818507
G4500110,33.2660533457215,-81.43513323324643,1106.6303052003889,6631.6809247165975,-2709.0254863531136
G2100090,36.96547107859697,-85.93370984768754,1366.446052062589,7384.6024881865505,-3176.5800660512373
G5500050,45.423550572932456,-91.84830827003591,2063.2989466517524,8436.111732067551,-4172.076275742267
G1300130,33.99319906075513,-83.71273878339505,1155.5375823841237,7007.822634616934,-2845.6637933849443
