gisjoin,year,n_couples,n_same_bpl,icm_rate
G2901470,1880,3946,1431.0,0.3626457171819564
G2901490,1880,940,398.0,0.4234042553191489
G2901530,1880,882,338.0,0.3832199546485261
G2901570,1880,840,575.0,0.6845238095238095
G2901630,1880,2987,1551.0,0.5192500836960161
G2901670,1880,2393,1039.0,0.4341830338487255
G2901690,1880,1000,446.0,0.446
G2901710,1880,2089,698.0,0.334131163235998
G2901730,1880,1537,797.0,0.5185426154847105
G2901750,1880,2660,1388.0,0.5218045112781955
G2901770,1880,2654,1373.0,0.5173323285606631
G2901810,1880,754,317.0,0.4204244031830239
G2901890,1880,1103,531.0,0.4814143245693563
G2905100,1880,7547,2432.0,0.3222472505631377
G31043.0,1880,257,86.0,0.3346303501945525
G31055.0,1880,2003,668.0,0.3334997503744383
G31059.0,1880,1048,427.0,0.4074427480916031
G31061.0,1880,661,244.0,0.3691376701966717
G31065.0,1880,785,291.0,0.3707006369426751
G31079.0,1880,739,301.0,0.4073071718538565
G31085.0,1880,15,4.0,0.2666666666666666
G31089.0,1880,255,98.0,0.3843137254901961
G31093.0,1880,332,136.0,0.4096385542168674
G31095.0,1880,866,336.0,0.3879907621247113
G31097.0,1880,883,297.0,0.3363533408833522
G31099.0,1880,361,159.0,0.4404432132963989
G3101090,1880,2211,916.0,0.4142921754862053
G3101290,1880,519,171.0,0.3294797687861271
G3101310,1880,1336,486.0,0.3637724550898203
G3101390,1880,44,19.0,0.4318181818181818
G3101410,1880,396,165.0,0.4166666666666667
G3101430,1880,606,233.0,0.3844884488448845
G3101470,1880,1522,537.0,0.3528252299605782
G3101530,1880,394,144.0,0.365482233502538
G3101670,1880,89,29.0,0.3258426966292135
G3101770,1880,723,272.0,0.3762102351313969
G3101810,1880,806,274.0,0.3399503722084367
G3101830,1880,77,20.0,0.2597402597402597
G3201.00,1880,37,9.0,0.2432432432432432
G3209.00,1880,186,89.0,0.478494623655914
G32019.0,1880,89,20.0,0.2247191011235955
G32029.0,1880,445,86.0,0.1932584269662921
G3301.00,1880,3141,2522.0,0.8029290035020694
G34017.0,1880,6710,3620.0,0.5394932935916542
G34021.0,1880,5352,4004.0,0.7481315396113603
G34023.0,1880,4601,3488.0,0.758096066072593
G35055.0,1880,1615,1594.0,0.9869969040247678
G3601.00,1880,9775,8284.0,0.8474680306905371
G3603.00,1880,6610,5154.0,0.7797276853252647
G3607.00,1880,7642,6004.0,0.7856582046584664
G3609.00,1880,7157,5414.0,0.7564622048344278
G36011.0,1880,8117,6849.0,0.8437846495010471
G36013.0,1880,8538,6001.0,0.7028578121339892
G36017.0,1880,7171,6248.0,0.8712871287128713
G36049.0,1880,3151,2645.0,0.8394160583941606
G36053.0,1880,6388,5480.0,0.8578584846587352
G36055.0,1880,8382,6061.0,0.7230971128608924
G36067.0,1880,10834,8908.0,0.8222263245338748
G36069.0,1880,5717,4615.0,0.8072415602588771
G36075.0,1880,9520,8015.0,0.8419117647058824
G36079.0,1880,1889,1671.0,0.8845950238221281
G36081.0,1880,6238,5239.0,0.8398525168323181
G36099.0,1880,3518,2837.0,0.8064241046048891
G3601030,1880,7188,6378.0,0.8873121869782972
G3601070,1880,4938,3747.0,0.758809234507898
G3601090,1880,5544,4610.0,0.8315295815295816
G3601130,1880,3354,2759.0,0.8225998807394156
G3601170,1880,6319,5293.0,0.8376325367937965
G37065.0,1880,1142,1093.0,0.957092819614711
G37067.0,1880,2109,2003.0,0.9497392128971076
G37079.0,1880,734,719.0,0.9795640326975475
G37083.0,1880,1283,1122.0,0.8745128604832424
G37085.0,1880,1084,1071.0,0.9880073800738008
G37091.0,1880,734,647.0,0.8814713896457765
G37095.0,1880,720,712.0,0.9888888888888888
G37097.0,1880,2476,2349.0,0.9487075928917608
G37099.0,1880,981,819.0,0.8348623853211009
G3701010,1880,2524,2483.0,0.983755942947702
G3701030,1880,508,501.0,0.9862204724409448
G3701110,1880,1140,1069.0,0.937719298245614
G3701130,1880,1101,873.0,0.7929155313351499
G3701170,1880,1034,1015.0,0.9816247582205028
G3701210,1880,1439,1271.0,0.8832522585128562
G3701230,1880,1078,1055.0,0.9786641929499073
G3701250,1880,1603,1563.0,0.9750467872738616
G3701270,1880,1399,1369.0,0.9785561115082202
G3701290,1880,974,775.0,0.795687885010267
G3701990,1880,1160,1055.0,0.9094827586206896
G3903.00,1880,3455,2565.0,0.7424023154848046
G3905.00,1880,3444,2269.0,0.6588269454123112
G39011.0,1880,2161,1628.0,0.7533549282739472
G39013.0,1880,5523,3742.0,0.6775303277204417
G39015.0,1880,3731,2885.0,0.7732511391047976
G39023.0,1880,4324,2706.0,0.6258094357076781
G39025.0,1880,4776,3619.0,0.7577470686767169
G39027.0,1880,3674,2737.0,0.7449646162221013
G39035.0,1880,7930,3607.0,0.4548549810844893
G39037.0,1880,5577,3779.0,0.677604446835216
G39039.0,1880,2271,1458.0,0.6420079260237781
G39047.0,1880,2802,2095.0,0.7476802284082797
G39049.0,1880,6971,4416.0,0.6334815664897432
G39067.0,1880,2851,2313.0,0.8112942827078218
G39069.0,1880,2038,1367.0,0.6707556427870461
G39079.0,1880,2611,1834.0,0.7024128686327078
G39081.0,1880,3479,2367.0,0.680367921816614
G39085.0,1880,2350,1166.0,0.4961702127659574
G39087.0,1880,4496,2732.0,0.6076512455516014
G39091.0,1880,3761,2584.0,0.6870513161393247
G3901630,1880,2335,1732.0,0.7417558886509636
G3901670,1880,4610,3144.0,0.6819956616052061
G3901730,1880,3964,2490.0,0.6281533804238143
G3901750,1880,2704,1809.0,0.669008875739645
G4107.00,1880,223,55.0,0.2466367713004484
G4109.00,1880,218,48.0,0.2201834862385321
G41015.0,1880,121,28.0,0.2314049586776859
G41029.0,1880,887,206.0,0.2322435174746336
G41033.0,1880,221,54.0,0.2443438914027149
G41053.0,1880,872,245.0,0.2809633027522936
G41059.0,1880,1225,331.0,0.2702040816326531
G41060.0,1880,815,206.0,0.252760736196319
G41065.0,1880,946,244.0,0.2579281183932346
G41071.0,1880,971,260.0,0.2677651905252317
G4201.00,1880,5016,4403.0,0.8777910685805422
G4203.00,1880,14686,10906.0,0.7426120114394662
G42013.0,1880,6115,5614.0,0.9180703188879804
G42017.0,1880,10517,9481.0,0.9014928211467148
G42025.0,1880,2717,2559.0,0.9418476260581524
G42019.0,1880,5121,4509.0,0.8804920913884007
G42027.0,1880,5375,5149.0,0.957953488372093
G42029.0,1880,9880,8664.0,0.8769230769230769
G42033.0,1880,4523,4097.0,0.9058147247402166
G42055.0,1880,6970,6046.0,0.8674318507890961
G42057.0,1880,1427,1279.0,0.8962859145059565
G42063.0,1880,5209,4946.0,0.9495104626607794
G42067.0,1880,2662,2608.0,0.9797145003756574
G42097.0,1880,6797,6497.0,0.955862880682654
G42099.0,1880,4266,4098.0,0.960618846694796
G4201030,1880,936,554.0,0.5918803418803419
G4201050,1880,2174,1252.0,0.5758969641214351
G4201010,1880,44291,30394.0,0.6862342236571765
G4201070,1880,8801,8286.0,0.9414839222815587
G4201110,1880,4534,4182.0,0.9223643581826202
G4201130,1880,745,614.0,0.8241610738255034
G4201230,1880,3082,1740.0,0.5645684620376379
G4201270,1880,3031,1936.0,0.6387330913889805
G4201290,1880,9129,8523.0,0.9336181399934276
G4503.00,1880,1835,1631.0,0.8888283378746594
G4507.00,1880,2786,2491.0,0.8941134242641781
G45011.0,1880,2095,2004.0,0.956563245823389
G45013.0,1880,301,234.0,0.7774086378737541
G45019.0,1880,2469,2116.0,0.8570271364925071
G45025.0,1880,1351,1121.0,0.8297557364914878
G45027.0,1880,974,931.0,0.9558521560574949
G45029.0,1880,1780,1731.0,0.9724719101123596
G45031.0,1880,1907,1761.0,0.923439958049292
G45037.0,1880,2463,2341.0,0.950466910272026
G45039.0,1880,891,819.0,0.9191919191919192
G45045.0,1880,3343,2916.0,0.8722704157941968
G45051.0,1880,1671,1401.0,0.8384201077199281
G45057.0,1880,1192,1035.0,0.8682885906040269
G45059.0,1880,1713,1643.0,0.9591360186806772
G45063.0,1880,1711,1665.0,0.973115137346581
G45067.0,1880,2279,2034.0,0.8924967090829311
G45079.0,1880,1046,884.0,0.8451242829827916
G4701.00,1880,1510,1313.0,0.8695364238410596
