gisjoin,state,county,year,total_farms,farms_reporting_fert,fert_expenditure_dollars,fert_tons_purchased,share_farms_reporting_fert,fert_exp_per_farm
G0600650,California,Riverside,1910,2688.0,706.0,323568.0,,0.26264880952380953,120.375
G0600670,California,Sacramento,1910,1601.0,65.0,15274.0,,0.04059962523422861,9.540287320424735
G0600690,California,San Benito,1910,921.0,6.0,191.0,,0.006514657980456026,0.20738327904451684
G0600710,California,San Bernardino,1910,2949.0,1624.0,708516.0,,0.5506951508986097,240.25635808748729
G0600730,California,San Diego,1910,2298.0,232.0,42429.0,,0.10095735422106179,18.463446475195823
G0600750,California,San Francisco,1910,157.0,22.0,6031.0,,0.14012738853503184,38.4140127388535
G0600770,California,San Joaquin,1910,3286.0,83.0,10657.0,,0.02525867315885575,3.2431527693244067
G0600790,California,San Luis Obispo,1910,1714.0,13.0,1027.0,,0.007584597432905484,0.5991831971995333
G0600810,California,San Mateo,1910,665.0,54.0,13450.0,,0.081203007518797,20.225563909774436
G0600830,California,Santa Barbara,1910,1355.0,50.0,8133.0,,0.03690036900369004,6.002214022140222
G0600850,California,Santa Clara,1910,4731.0,153.0,16703.0,,0.032339885859226376,3.5305432255337137
G0600870,California,Santa Cruz,1910,1466.0,42.0,3537.0,,0.0286493860845839,2.41268758526603
G0600890,California,Shasta,1910,1010.0,25.0,1086.0,,0.024752475247524754,1.0752475247524753
G0600910,California,Sierra,1910,110.0,6.0,140.0,,0.05454545454545454,1.2727272727272727
G0600930,California,Siskiyou,1910,1114.0,13.0,571.0,,0.011669658886894075,0.5125673249551167
G0600950,California,Solano,1910,1143.0,18.0,4142.0,,0.015748031496062992,3.6237970253718284
G0600970,California,Sonoma,1910,4772.0,121.0,12585.0,,0.025356244761106456,2.6372590108968987
G0600990,California,Stanislaus,1910,2687.0,673.0,23180.0,,0.2504652028284332,8.626721250465202
G0601010,California,Sutter,1910,873.0,3.0,80.0,,0.003436426116838488,0.09163802978235967
G0601030,California,Tehama,1910,1006.0,5.0,685.0,,0.004970178926441352,0.6809145129224652
G0601050,California,Trinity,1910,308.0,2.0,170.0,,0.006493506493506494,0.551948051948052
G0601070,California,Tulare,1910,4021.0,144.0,41765.0,,0.035811987067893555,10.386719721462322
G0601090,California,Tuolumne,1910,386.0,19.0,1347.0,,0.04922279792746114,3.489637305699482
G0601110,California,Ventura,1910,1293.0,126.0,57432.0,,0.09744779582366589,44.417633410672856
G0601130,California,Yolo,1910,1255.0,6.0,5050.0,,0.004780876494023904,4.0239043824701195
G0601150,California,Yuba,1910,436.0,9.0,2765.0,,0.020642201834862386,6.341743119266055
G0609995,California,Indian Reservations [multi-reservation reporting area],1910,0.0,,,,,
G0800010,Colorado,Adams,1910,1357.0,18.0,925.0,,0.013264554163596167,0.681650700073692
G0800050,Colorado,Arapahoe,1910,948.0,13.0,2342.0,,0.013713080168776372,2.470464135021097
G0800070,Colorado,Archuleta,1910,282.0,0.0,0.0,,0.0,0.0
G0800090,Colorado,Baca,1910,540.0,1.0,50.0,,0.001851851851851852,0.09259259259259259
G0800110,Colorado,Bent,1910,463.0,3.0,160.0,,0.0064794816414686825,0.34557235421166305
G0800130,Colorado,Boulder,1910,1181.0,16.0,1620.0,,0.013547840812870448,1.371718882303133
G0800150,Colorado,Chaffee,1910,230.0,10.0,228.0,,0.043478260869565216,0.991304347826087
G0800170,Colorado,Cheyenne,1910,791.0,6.0,346.0,,0.007585335018963337,0.43742098609355246
G0800190,Colorado,Clear Creek,1910,29.0,0.0,0.0,,0.0,0.0
G0800210,Colorado,Conejos,1910,756.0,31.0,869.0,,0.041005291005291,1.1494708994708995
G0800230,Colorado,Costilla,1910,387.0,2.0,250.0,,0.00516795865633075,0.6459948320413437
G0800270,Colorado,Custer,1910,249.0,1.0,75.0,,0.004016064257028112,0.30120481927710846
G0800290,Colorado,Delta,1910,1741.0,5.0,163.0,,0.002871912693854107,0.09362435381964389
G0800310,Colorado,Denver,1910,235.0,46.0,13432.0,,0.19574468085106383,57.15744680851064
G0800330,Colorado,Dolores,1910,31.0,0.0,0.0,,0.0,0.0
G0800350,Colorado,Douglas,1910,418.0,0.0,0.0,,0.0,0.0
G0800370,Colorado,Eagle,1910,248.0,0.0,0.0,,0.0,0.0
G0800390,Colorado,Elbert,1910,1150.0,1.0,25.0,,0.0008695652173913044,0.021739130434782608
G0800410,Colorado,El Paso,1910,1285.0,14.0,3450.0,,0.010894941634241245,2.684824902723735
G0800430,Colorado,Fremont,1910,896.0,31.0,2365.0,,0.03459821428571429,2.6395089285714284
G0800450,Colorado,Garfield,1910,965.0,9.0,534.0,,0.00932642487046632,0.5533678756476684
G0800470,Colorado,Gilpin,1910,43.0,1.0,500.0,,0.023255813953488372,11.627906976744185
G0800490,Colorado,Grand,1910,249.0,0.0,0.0,,0.0,0.0
G0800510,Colorado,Gunnison,1910,277.0,5.0,712.0,,0.018050541516245487,2.5703971119133575
G0800530,Colorado,Hinsdale,1910,24.0,0.0,0.0,,0.0,0.0
G0800550,Colorado,Huerfano,1910,462.0,3.0,246.0,,0.006493506493506494,0.5324675324675324
G0800570,Colorado,Jackson,1910,178.0,0.0,0.0,,0.0,0.0
G0800590,Colorado,Jefferson,1910,1417.0,161.0,16650.0,,0.11362032462949895,11.75017642907551
G0800610,Colorado,Kiowa,1910,646.0,0.0,0.0,,0.0,0.0
G0800630,Colorado,Kit Carson,1910,1767.0,1.0,30.0,,0.0005659309564233164,0.01697792869269949
G0800650,Colorado,Lake,1910,57.0,1.0,5.0,,0.017543859649122806,0.08771929824561403
G0800670,Colorado,La Plata,1910,735.0,8.0,418.0,,0.010884353741496598,0.5687074829931973
G0800690,Colorado,Larimer,1910,1830.0,11.0,790.0,,0.006010928961748634,0.43169398907103823
G0800710,Colorado,Las Animas,1910,954.0,52.0,3685.0,,0.05450733752620545,3.8626834381551363
G0800730,Colorado,Lincoln,1910,1334.0,1.0,5.0,,0.0007496251874062968,0.0037481259370314842
G0800750,Colorado,Logan,1910,1359.0,1.0,300.0,,0.0007358351729212656,0.22075055187637968
G0800770,Colorado,Mesa,1910,2348.0,16.0,1491.0,,0.0068143100511073255,0.6350085178875639
G0800790,Colorado,Mineral,1910,33.0,2.0,520.0,,0.06060606060606061,15.757575757575758
G0800830,Colorado,Montezuma,1910,1004.0,1.0,120.0,,0.00099601593625498,0.11952191235059761
G0800850,Colorado,Montrose,1910,1138.0,7.0,553.0,,0.006151142355008787,0.4859402460456942
G0800870,Colorado,Morgan,1910,1075.0,3.0,74.0,,0.0027906976744186047,0.06883720930232558
G0800890,Colorado,Otero,1910,1498.0,11.0,940.0,,0.007343124165554072,0.6275033377837116
G0800910,Colorado,Ouray,1910,189.0,0.0,0.0,,0.0,0.0
G0800930,Colorado,Park,1910,194.0,0.0,0.0,,0.0,0.0
G0800950,Colorado,Phillips,1910,508.0,0.0,0.0,,0.0,0.0
G0800970,Colorado,Pitkin,1910,191.0,3.0,85.0,,0.015706806282722512,0.44502617801047123
G0800990,Colorado,Prowers,1910,991.0,4.0,415.0,,0.004036326942482341,0.41876892028254287
G0801010,Colorado,Pueblo,1910,1103.0,15.0,445.0,,0.013599274705349048,0.40344514959202177
G0801030,Colorado,Rio Blanco,1910,341.0,1.0,100.0,,0.002932551319648094,0.2932551319648094
G0801050,Colorado,Rio Grande,1910,519.0,3.0,189.0,,0.005780346820809248,0.36416184971098264
G0801070,Colorado,Routt,1910,1113.0,0.0,0.0,,0.0,0.0
G0801090,Colorado,Saguache,1910,363.0,1.0,50.0,,0.0027548209366391185,0.13774104683195593
G0801110,Colorado,San Juan,1910,0.0,0.0,0.0,,,
G0801130,Colorado,San Miguel,1910,140.0,0.0,0.0,,0.0,0.0
G0801150,Colorado,Sedgwick,1910,448.0,0.0,0.0,,0.0,0.0
G0801170,Colorado,Summit,1910,96.0,3.0,59.0,,0.03125,0.6145833333333334
G0801190,Colorado,Teller,1910,208.0,0.0,0.0,,0.0,0.0
G0801210,Colorado,Washington,1910,1346.0,0.0,0.0,,0.0,0.0
G0801230,Colorado,Weld,1910,3981.0,38.0,5897.0,,0.009545340366742025,1.4812861090178346
G0801250,Colorado,Yuma,1910,1829.0,0.0,0.0,,0.0,0.0
G0809995,Colorado,Indian Reservations [multi-reservation reporting area],1910,0.0,0.0,0.0,,,
G0900010,Connecticut,Fairfield,1910,4625.0,1605.0,177457.0,,0.34702702702702704,38.369081081081085
G0900030,Connecticut,Hartford,1910,5201.0,3864.0,1100458.0,,0.7429340511440108,211.5858488752163
G0900050,Connecticut,Litchfield,1910,3837.0,1771.0,105986.0,,0.4615585092520198,27.622100599426634
