gisjoin,year,n_married,n_divorced,n_elderly,n_elderly_nonrel,mean_nchild,divorce_ratio,elderly_alone_share
G28031.0,1850,0.0,0.0,37.0,0.0,3.896755162241888,,0.0
G28033.0,1850,0.0,0.0,87.0,4.0,3.2271313005600497,,0.0459770114942528
G28047.0,1850,0.0,0.0,38.0,1.0,2.3496932515337425,,0.0263157894736842
G28049.0,1850,0.0,0.0,88.0,7.0,2.6859813084112147,,0.0795454545454545
G28051.0,1850,0.0,0.0,68.0,6.0,3.0446521287642785,,0.088235294117647
G28059.0,1850,0.0,0.0,47.0,3.0,2.853080568720379,,0.0638297872340425
G28063.0,1850,0.0,0.0,50.0,4.0,2.526530612244898,,0.08
G28075.0,1850,0.0,0.0,107.0,9.0,3.386939571150098,,0.0841121495327102
G28079.0,1850,0.0,0.0,46.0,4.0,3.3875181422351233,,0.0869565217391304
G28093.0,1850,0.0,0.0,149.0,7.0,3.474203678779722,,0.046979865771812
G28099.0,1850,0.0,0.0,50.0,2.0,3.3870402802101576,,0.04
G2901690,1850,0.0,0.0,47.0,4.0,3.5216,,0.0851063829787234
G2901710,1850,0.0,0.0,14.0,0.0,3.737226277372262,,0.0
G2901730,1850,0.0,0.0,73.0,3.0,3.593264248704663,,0.0410958904109589
G2901750,1850,0.0,0.0,117.0,7.0,3.8268710550045086,,0.0598290598290598
G2901770,1850,0.0,0.0,125.0,7.0,3.620422535211268,,0.056
G2901810,1850,0.0,0.0,28.0,1.0,3.654627539503386,,0.0357142857142857
G2901890,1850,0.0,0.0,610.0,69.0,1.9442311446606364,,0.1131147540983606
G2901970,1850,0.0,0.0,36.0,4.0,3.5,,0.1111111111111111
G2901990,1850,0.0,0.0,42.0,2.0,3.5586206896551724,,0.0476190476190476
G2902010,1850,0.0,0.0,27.0,0.0,3.0580912863070537,,0.0
G2902050,1850,0.0,0.0,64.0,1.0,3.37442218798151,,0.015625
G2902130,1850,0.0,0.0,61.0,1.0,3.7075757575757575,,0.0163934426229508
G2902150,1850,0.0,0.0,15.0,0.0,3.1451187335092348,,0.0
G2902290,1850,0.0,0.0,38.0,1.0,3.779245283018868,,0.0263157894736842
G3301.00,1850,0.0,0.0,1127.0,62.0,2.065485775630703,,0.0550133096716947
G3309.00,1850,0.0,0.0,2299.0,156.0,2.381166479330586,,0.0678555893866898
G33015.0,1850,0.0,0.0,3004.0,208.0,2.1980807343277355,,0.0692410119840213
G34041.0,1850,0.0,0.0,681.0,39.0,2.832521159271608,,0.0572687224669603
G3501.00,1850,0.0,0.0,151.0,2.0,2.0285536933581625,,0.0132450331125827
G35047.0,1850,0.0,0.0,295.0,12.0,1.9250851305334848,,0.0406779661016949
G35049.0,1850,0.0,0.0,140.0,10.0,1.9434604904632151,,0.0714285714285714
G35055.0,1850,0.0,0.0,168.0,11.0,1.90290337934317,,0.0654761904761904
G3601.00,1850,0.0,0.0,1986.0,151.0,2.37761868434951,,0.0760322255790533
G3603.00,1850,0.0,0.0,1069.0,40.0,2.706635137014884,,0.0374181478016838
G3607.00,1850,0.0,0.0,952.0,35.0,2.6437708077799194,,0.0367647058823529
G3609.00,1850,0.0,0.0,991.0,53.0,2.762333183385815,,0.053481331987891
G36011.0,1850,0.0,0.0,1765.0,116.0,2.5205007824726136,,0.0657223796033994
G36013.0,1850,0.0,0.0,1583.0,76.0,2.696706915477497,,0.0480101073910296
G36017.0,1850,0.0,0.0,1706.0,76.0,2.4562638508669012,,0.044548651817116
G36049.0,1850,0.0,0.0,773.0,34.0,2.6001740265390474,,0.0439844760672703
G36053.0,1850,0.0,0.0,1878.0,109.0,2.2593043055217708,,0.0580404685835995
G36055.0,1850,0.0,0.0,1963.0,163.0,2.4876389797253107,,0.0830361691288843
G36057.0,1850,0.0,0.0,1028.0,60.0,2.661115133960898,,0.0583657587548638
G36067.0,1850,0.0,0.0,2290.0,124.0,2.386818923327896,,0.0541484716157205
G36069.0,1850,0.0,0.0,1526.0,88.0,2.5234184524573333,,0.0576671035386631
G36075.0,1850,0.0,0.0,1661.0,90.0,2.5563244569025927,,0.0541842263696568
G36079.0,1850,0.0,0.0,465.0,32.0,2.286415094339622,,0.0688172043010752
G36081.0,1850,0.0,0.0,1210.0,109.0,2.2986219855934857,,0.0900826446280991
G36083.0,1850,0.0,0.0,2102.0,150.0,2.3780357415610203,,0.071360608943863
G3601170,1850,0.0,0.0,1317.0,77.0,2.5388651616839537,,0.058466211085801
G3701.00,1850,0.0,0.0,266.0,16.0,3.008736559139785,,0.0601503759398496
G3703.00,1850,0.0,0.0,143.0,0.0,3.3965936739659366,,0.0
