gisjoin,state,county,year,religious_diversity_index,source,rdi_zscore
G1200470,Florida,Hamilton,1850,0.375,churches_proxy,-1.0777051405195446
G1200570,Florida,Hillsborough,1850,0.625,churches_proxy,0.1391766705273108
G1200590,Florida,Holmes,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G1200630,Florida,Jackson,1850,0.4861111111111111,churches_proxy,-0.5368687800542753
G1200650,Florida,Jefferson,1850,0.6666666666666666,churches_proxy,0.3419903057017866
G1200730,Florida,Leon,1850,0.5817174515235457,churches_proxy,-0.0715023133796932
G1200750,Florida,Levy,1850,,churches_proxy,
G1200790,Florida,Madison,1850,0.7083333333333333,churches_proxy,0.5448039408762624
G1200830,Florida,Marion,1850,0.4938271604938271,churches_proxy,-0.4993106994664097
G1200870,Florida,Monroe,1850,0.75,churches_proxy,0.7476175760507386
G1200890,Florida,Nassau,1850,,churches_proxy,
G1200950,Florida,Orange,1850,,churches_proxy,
G1201070,Florida,Putnam,1850,,churches_proxy,
G1201090,Florida,St Johns,1850,0.75,churches_proxy,0.7476175760507386
G1201115,Florida,St Lucie (old),1850,,churches_proxy,
G1201130,Florida,Santa Rosa,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G1201290,Florida,Wakulla,1850,0.4081632653061224,churches_proxy,-0.916282043135778
G1201310,Florida,Walton,1850,0.6666666666666667,churches_proxy,0.3419903057017871
G1201330,Florida,Washington,1850,0.0,churches_proxy,-2.903027857089828
G1300010,Georgia,Appling,1850,0.4844290657439446,churches_proxy,-0.5450561817049177
G1300070,Georgia,Baker,1850,0.5,churches_proxy,-0.4692642349961168
G1300090,Georgia,Baldwin,1850,0.7777777777777777,churches_proxy,0.8828266661670554
G1300210,Georgia,Bibb,1850,0.6666666666666666,churches_proxy,0.3419903057017866
G1300290,Georgia,Bryan,1850,0.5619834710743802,churches_proxy,-0.1675580008522683
G1300310,Georgia,Bulloch,1850,0.1799999999999999,churches_proxy,-2.0268729531360923
G1300330,Georgia,Burke,1850,0.6621315192743764,churches_proxy,0.3199153522134084
G1300350,Georgia,Butts,1850,0.5694444444444444,churches_proxy,-0.1312415097053238
G1300390,Georgia,Camden,1850,0.58,churches_proxy,-0.0798620554611233
G1300395,Georgia,Campbell,1850,0.5449999999999999,churches_proxy,-0.2502255090076832
G1300450,Georgia,Carroll,1850,0.48,churches_proxy,-0.5666147798798654
G1300455,Georgia,Cass,1850,,churches_proxy,
G1300458,Georgia,Cass-Cordon [multi-county reporting area],1850,0.575,churches_proxy,-0.1041996916820604
G1300510,Georgia,Chatham,1850,0.693877551020408,churches_proxy,0.4744400266320562
G1300550,Georgia,Chattooga,1850,0.6426592797783934,churches_proxy,0.2251336959613689
G1300570,Georgia,Cherokee,1850,0.5536332179930796,churches_proxy,-0.2082030852213587
G1300590,Georgia,Clarke,1850,0.6485260770975056,churches_proxy,0.2536904917482733
G1300650,Georgia,Clinch,1850,,churches_proxy,
G1300670,Georgia,Cobb,1850,0.6944444444444444,churches_proxy,0.4771993958181039
G1300730,Georgia,Columbia,1850,0.5449999999999999,churches_proxy,-0.2502255090076832
G1300770,Georgia,Coweta,1850,0.6282578875171467,churches_proxy,0.1550345267755206
G1300790,Georgia,Crawford,1850,0.5449999999999999,churches_proxy,-0.2502255090076832
G1300830,Georgia,Dade,1850,0.48,churches_proxy,-0.5666147798798654
G1300870,Georgia,Decatur,1850,0.64,churches_proxy,0.2121895791901222
G1300890,Georgia,DeKalb,1850,0.5986159169550173,churches_proxy,0.0107514274929539
G1300930,Georgia,Dooly,1850,0.4881656804733728,churches_proxy,-0.5268681077083938
G1300990,Georgia,Early,1850,0.5390625,churches_proxy,-0.2791264520200457
G1301030,Georgia,Effingham,1850,0.6757369614512472,churches_proxy,0.3861402126785435
G1301050,Georgia,Elbert,1850,0.4927999999999999,churches_proxy,-0.5043104311542668
G1301070,Georgia,Emanuel,1850,0.3598615916955018,churches_proxy,-1.1513917553753228
G1301130,Georgia,Fayette,1850,0.5416666666666666,churches_proxy,-0.2664505998216411
G1301150,Georgia,Floyd,1850,0.5306122448979591,churches_proxy,-0.3202582989495635
G1301170,Georgia,Forsyth,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G1301190,Georgia,Franklin,1850,0.5844444444444444,churches_proxy,-0.0582286010425124
G1301230,Georgia,Gilmer,1850,0.4444444444444444,churches_proxy,-0.7396824152287516
G1301270,Georgia,Glynn,1850,0.7346938775510203,churches_proxy,0.6731146080274614
G1301290,Georgia,Gordon,1850,,churches_proxy,
G1301330,Georgia,Greene,1850,0.578512396694215,churches_proxy,-0.0871030050805751
G1301350,Georgia,Gwinnett,1850,0.5766758494031221,churches_proxy,-0.0960424490552081
G1301370,Georgia,Habersham,1850,0.5483234714003944,churches_proxy,-0.2340484214209854
G1301390,Georgia,Hall,1850,0.489795918367347,churches_proxy,-0.5189328803449677
G1301410,Georgia,Hancock,1850,0.5532879818594105,churches_proxy,-0.209883531507671
G1301450,Georgia,Harris,1850,0.4869927159209156,churches_proxy,-0.5325775446239452
G1301490,Georgia,Heard,1850,0.53125,churches_proxy,-0.3171540086152599
G1301510,Georgia,Henry,1850,0.5449999999999999,churches_proxy,-0.2502255090076832
G1301530,Georgia,Houston,1850,0.5381944444444444,churches_proxy,-0.2833517360861807
G1301550,Georgia,Irwin,1850,0.5,churches_proxy,-0.4692642349961168
G1301570,Georgia,Jackson,1850,0.6020408163265306,churches_proxy,0.0274222184923955
G1301590,Georgia,Jasper,1850,0.5240054869684498,churches_proxy,-0.3524168731672011
G1301630,Georgia,Jefferson,1850,0.5511111111111111,churches_proxy,-0.2204795091820931
G1301690,Georgia,Jones,1850,0.46875,churches_proxy,-0.6213744613769738
G1301750,Georgia,Laurens,1850,0.5,churches_proxy,-0.4692642349961168
G1301770,Georgia,Lee,1850,0.345679012345679,churches_proxy,-1.2204258467534352
G1301790,Georgia,Liberty,1850,0.54,churches_proxy,-0.2745631452286198
G1301810,Georgia,Lincoln,1850,0.6122448979591837,churches_proxy,0.0770908638412468
G1301850,Georgia,Lowndes,1850,0.5066162570888468,churches_proxy,-0.4370594233616067
G1301870,Georgia,Lumpkin,1850,0.4930795847750865,churches_proxy,-0.5029495446444727
G1301910,Georgia,McIntosh,1850,0.6805555555555556,churches_proxy,0.4095948507599455
G1301930,Georgia,Macon,1850,0.5330578512396694,churches_proxy,-0.308354243452731
G1301950,Georgia,Madison,1850,0.6776859504132232,churches_proxy,0.3956269695495824
G1301970,Georgia,Marion,1850,0.5165289256198347,churches_proxy,-0.3888092392244242
G1301990,Georgia,Meriwether,1850,0.5396825396825398,churches_proxy,-0.276108391972806
