gisjoin,state,county,year,total_farms,farm_size_gini
G1700730,Illinois,Henry,1860,2038.0,0.416640332024462
G1700750,Illinois,Iroquois,1860,1681.0,0.4763141279748015
G1700770,Illinois,Jackson,1860,844.0,0.4881841413198889
G1700790,Illinois,Jasper,1860,1140.0,0.505889400949475
G1700810,Illinois,Jefferson,1860,1380.0,0.5270222179139007
G1700830,Illinois,Jersey,1860,1115.0,0.4995738527272971
G1700850,Illinois,Jo Daviess,1860,1694.0,0.4759873540937439
G1700870,Illinois,Johnson,1860,1203.0,0.4216164086916099
G1700890,Illinois,Kane,1860,1858.0,0.3497478966643156
G1700910,Illinois,Kankakee,1860,1447.0,0.4385493796021317
G1700930,Illinois,Kendall,1860,1333.0,0.3579035836709032
G1700950,Illinois,Knox,1860,2548.0,0.458155412444835
G1700970,Illinois,Lake,1860,1605.0,0.3794318407456618
G1700990,Illinois,La Salle,1860,3859.0,0.3795294120431308
G1701010,Illinois,Lawrence,1860,921.0,0.4775064952944901
G1701030,Illinois,Lee,1860,1684.0,0.4156281556530217
G1701050,Illinois,Livingston,1860,1099.0,0.4179437651877098
G1701070,Illinois,Logan,1860,1638.0,0.4356444255709626
G1701090,Illinois,McDonough,1860,1622.0,0.4005149292018372
G1701110,Illinois,McHenry,1860,1940.0,0.4005266338516295
G1701130,Illinois,McLean,1860,2170.0,0.3474175114231214
G1701150,Illinois,Macon,1860,1021.0,0.4039129486938182
G1701170,Illinois,Macoupin,1860,2139.0,0.4249764111188148
G1701190,Illinois,Madison,1860,2197.0,0.4755827527020667
G1701210,Illinois,Marion,1860,1164.0,0.4823742454768752
G1701230,Illinois,Marshall,1860,1190.0,0.3594747018267388
G1701250,Illinois,Mason,1860,1474.0,0.457168846262985
G1701270,Illinois,Massac,1860,612.0,0.3502337055310309
G1701290,Illinois,Menard,1860,952.0,0.419703299629195
G1701310,Illinois,Mercer,1860,1744.0,0.4524425694674763
G1701330,Illinois,Monroe,1860,1609.0,0.4209915135936196
G1701350,Illinois,Montgomery,1860,1139.0,0.3787611581267643
G1701370,Illinois,Morgan,1860,1516.0,0.4352411334389965
G1701390,Illinois,Moultrie,1860,518.0,0.3720594008833412
G1701410,Illinois,Ogle,1860,2418.0,0.3956596572715946
G1701430,Illinois,Peoria,1860,2113.0,0.4328140017775526
G1701450,Illinois,Perry,1860,920.0,0.5219932174406541
G1701470,Illinois,Piatt,1860,577.0,0.3595639877474638
G1701490,Illinois,Pike,1860,2322.0,0.4775637988474319
G1701510,Illinois,Pope,1860,776.0,0.4115917038720675
G1701530,Illinois,Pulaski,1860,289.0,0.3773933479874538
G1701550,Illinois,Putnam,1860,448.0,0.4041650545342494
G1701570,Illinois,Randolph,1860,1875.0,0.4704768446542337
G1701590,Illinois,Richland,1860,577.0,0.4486094890562122
G1701610,Illinois,Rock Island,1860,1355.0,0.4708894832907366
G1701630,Illinois,St Clair,1860,2756.0,0.4605734801898696
G1701650,Illinois,Saline,1860,1108.0,0.4649121418602504
G1701670,Illinois,Sangamon,1860,2238.0,0.4094482766615229
G1701690,Illinois,Schuyler,1860,1020.0,0.4692145338461984
G1701710,Illinois,Scott,1860,788.0,0.4770583567511903
G1701730,Illinois,Shelby,1860,1376.0,0.4595446898253102
G1701750,Illinois,Stark,1860,959.0,0.3609449600582688
G1701770,Illinois,Stephenson,1860,1999.0,0.4207012203632541
G1701790,Illinois,Tazewell,1860,1974.0,0.4471466377658567
G1701810,Illinois,Union,1860,1258.0,0.4584790140322903
G1701830,Illinois,Vermilion,1860,2149.0,0.484196072468365
G1701850,Illinois,Wabash,1860,631.0,0.4521000700133222
G1701870,Illinois,Warren,1860,1670.0,0.3928889200723132
G1701890,Illinois,Washington,1860,1670.0,0.4734149171905238
G1701910,Illinois,Wayne,1860,1154.0,0.4785897923930163
G1701930,Illinois,White,1860,1327.0,0.4871371208288089
