gisjoin,year,bpd_fc
G1302150,1870,0.594672366060758
G1302170,1870,0.4111477180664326
G1302210,1870,0.1810742437564593
G1302230,1870,0.4732101799481009
G1302270,1870,0.6497085668981399
G1302290,1870,0.300037290067474
G1302310,1870,0.3386939958651997
G1302330,1870,0.5275656969359657
G1302370,1870,0.3460188950605039
G1302390,1870,0.3589566522799775
G1302410,1870,0.6606244655701423
G1302430,1870,0.4224073347171464
G1302450,1870,0.6215881567545034
G1302550,1870,0.3559285857065255
G17043.0,1870,0.7982386081772878
G17045.0,1870,0.849145621568598
G17049.0,1870,0.8510115482023091
G17057.0,1870,0.8654100908459703
G17059.0,1870,0.7925041342929204
G17081.0,1870,0.7958934734919102
G17085.0,1870,0.8639447803891682
G17087.0,1870,0.7803322740181309
G17089.0,1870,0.7213545652952531
G1701770,1870,0.6482435020938162
G1703.00,1870,0.8832444692275402
G1705.00,1870,0.8204259760135069
G17011.0,1870,0.8763746909482212
G17013.0,1870,0.8554863739728714
G17017.0,1870,0.8477584601595879
G17019.0,1870,0.8371673534031996
G17025.0,1870,0.8338398025792816
G17029.0,1870,0.8519937076314773
G1701410,1870,0.8257551502943727
G1701490,1870,0.8552758554467871
G1701550,1870,0.8458549598842442
G1701590,1870,0.8416931026272948
G18099.0,1870,0.7537460786664727
G1801090,1870,0.7350156899306672
G1801190,1870,0.758841124785786
G1801550,1870,0.624879467266568
G18015.0,1870,0.736001097662276
G18017.0,1870,0.7850994643919857
G18021.0,1870,0.7980980014714709
G18025.0,1870,0.4908945637830226
G1801.00,1870,0.6673588654992584
G1803.00,1870,0.7694242181412063
G1805.00,1870,0.784464462277437
G1801490,1870,0.76460544
G18035.0,1870,0.7603030778246685
G18039.0,1870,0.7643257227243903
G18051.0,1870,0.6965941766547461
G18055.0,1870,0.7608565551590363
G19015.0,1870,0.875880078720741
G19017.0,1870,0.7747055544466139
G19019.0,1870,0.7989798677268386
G19021.0,1870,0.8320347374401428
G19027.0,1870,0.85433147220039
G23021.0,1870,0.1495565215581799
G2401.00,1870,0.568014341144988
G2407.00,1870,0.0213536246964964
G24019.0,1870,0.1960212294307139
G24023.0,1870,0.2763094312281126
G24027.0,1870,0.3917901075947422
G24029.0,1870,0.284368492294877
G24033.0,1870,0.2764005834716564
G24039.0,1870,0.2171188864447906
G24035.0,1870,0.1564599169123597
G24041.0,1870,0.3987184532029724
G2501.00,1870,0.0838845680777848
G2503.00,1870,0.5173048585030076
G25017.0,1870,0.549767879740053
G26021.0,1870,0.7988338515454004
G26023.0,1870,0.6435563779716837
G26027.0,1870,0.8083438879795315
G26029.0,1870,0.6438142913830469
G26041.0,1870,0.8409696819393638
G26057.0,1870,0.7162595667595374
G26059.0,1870,0.6209907241786958
G26061.0,1870,0.8470931396379651
G26065.0,1870,0.6064152032653062
G26067.0,1870,0.6376791400759564
G26073.0,1870,0.7347023484917061
G26075.0,1870,0.584147868777957
G26077.0,1870,0.659801279155084
G26079.0,1870,0.7351018838908112
G26081.0,1870,0.6354924873260324
G26085.0,1870,0.7559523809523809
G26091.0,1870,0.6465123820037043
G2601630,1870,0.7002600306820385
G2601650,1870,0.6499095310284121
G27053.0,1870,0.8547454569848392
G27067.0,1870,0.8938198553583169
G27073.0,1870,0.8622222222222222
G27079.0,1870,0.8611131965260446
G27099.0,1870,0.7272260668973471
G2701010,1870,0.7476052572956116
G2701050,1870,0.7426035502958579
G27069.0,1870,0.4173553719008264
G2701270,1870,0.8479604938271605
G2701290,1870,0.786816
G2701390,1870,0.8813157590472886
G2701430,1870,0.870890022675737
G2701450,1870,0.8647660275794261
