gisjoin,year,n_heads,n_farmers,share_farmers_fc
G4803390,1850,270,193.0,0.7148148148148148
G4803490,1850,327,216.0,0.6605504587155964
G4803510,1850,218,149.0,0.6834862385321101
G4803550,1850,133,15.0,0.112781954887218
G4803730,1850,290,207.0,0.7137931034482758
G4803910,1850,54,30.0,0.5555555555555556
G4804030,1850,282,196.0,0.6950354609929078
G4804050,1850,342,213.0,0.6228070175438597
G4804090,1850,38,17.0,0.4473684210526316
G4804190,1850,541,405.0,0.7486136783733827
G4804230,1850,599,513.0,0.8564273789649416
G4804530,1850,414,193.0,0.466183574879227
G4804570,1850,262,205.0,0.7824427480916031
G4804690,1850,314,134.0,0.4267515923566879
G4804710,1850,463,296.0,0.6393088552915767
G4804810,1850,107,68.0,0.6355140186915887
G4804910,1850,234,179.0,0.7649572649572649
G49011.0,1850,210,157.0,0.7476190476190476
G49039.0,1850,62,29.0,0.4677419354838709
G49045.0,1850,32,21.0,0.65625
G51071.0,1850,894,521.0,0.5827740492170023
G51075.0,1850,856,393.0,0.4591121495327103
G54025.0,1850,1358,865.0,0.6369661266568483
G51081.0,1850,381,197.0,0.5170603674540682
G51083.0,1850,2131,1075.0,0.5044580009385266
G51085.0,1850,1288,552.0,0.4285714285714285
G51093.0,1850,1166,543.0,0.4656946826758147
G51097.0,1850,874,412.0,0.4713958810068649
G5101030,1850,412,195.0,0.4733009708737864
G5101070,1850,2680,1077.0,0.401865671641791
G5101110,1850,800,482.0,0.6025
G54049.0,1850,1773,1172.0,0.6610265087422448
G54051.0,1850,1679,1146.0,0.6825491363907088
G5101250,1850,1189,556.0,0.4676198486122792
G5101270,1850,523,278.0,0.5315487571701721
G5101290,1850,3989,628.0,0.1574329405866132
G5101310,1850,642,270.0,0.4205607476635514
G54069.0,1850,3053,397.0,0.1300360301342941
G5101370,1850,722,350.0,0.484764542936288
G5101410,1850,1288,823.0,0.6389751552795031
G54071.0,1850,882,699.0,0.7925170068027211
G54075.0,1850,546,389.0,0.7124542124542125
G5101450,1850,493,233.0,0.4726166328600406
G54077.0,1850,1557,1077.0,0.6917148362235067
G5101470,1850,770,372.0,0.4831168831168831
G5101490,1850,645,335.0,0.5193798449612403
G5101510,1850,889,613.0,0.6895388076490439
G5101550,1850,605,160.0,0.2644628099173554
G54081.0,1850,294,250.0,0.8503401360544217
G54083.0,1850,837,639.0,0.7634408602150538
G5101570,1850,963,456.0,0.4735202492211838
G54085.0,1850,647,537.0,0.8299845440494591
G5101610,1850,888,530.0,0.5968468468468469
G0107.00,1860,1364,1033.0,0.7573313782991202
G01013.0,1860,1940,1196.0,0.6164948453608248
G01015.0,1860,2940,2019.0,0.686734693877551
G01023.0,1860,1240,769.0,0.6201612903225806
G01031.0,1860,1363,1102.0,0.8085106382978723
G01045.0,1860,1738,748.0,0.430379746835443
G01047.0,1860,1428,506.0,0.3543417366946779
G01049.0,1860,1631,1217.0,0.7461679950950337
G01063.0,1860,1383,781.0,0.5647143890093999
G01067.0,1860,1812,961.0,0.5303532008830022
G01073.0,1860,1508,1248.0,0.8275862068965517
G01079.0,1860,1249,803.0,0.6429143314651722
G01087.0,1860,1603,660.0,0.4117280099812851
G01091.0,1860,1358,700.0,0.5154639175257731
G01093.0,1860,1646,1245.0,0.7563791008505468
G01095.0,1860,1622,1135.0,0.6997533908754624
G01097.0,1860,5665,382.0,0.0674315975286849
G0101010,1860,2308,562.0,0.2435008665511265
G0101030,1860,1348,887.0,0.6580118694362018
G0101050,1860,1655,998.0,0.6030211480362537
G0101090,1860,2725,1895.0,0.6954128440366972
G0101130,1860,2015,1196.0,0.5935483870967742
G0101170,1860,1432,963.0,0.672486033519553
G0101190,1860,1121,622.0,0.5548617305976806
G0101210,1860,2389,1151.0,0.4817915445793219
G0101230,1860,2959,2166.0,0.7320040554241297
G0101250,1860,2869,1526.0,0.5318926455210875
G0101270,1860,1258,999.0,0.7941176470588235
G06077.0,1860,1615,793.0,0.4910216718266253
G06083.0,1860,408,105.0,0.2573529411764705
G06087.0,1860,1061,338.0,0.3185673892554194
G06095.0,1860,1265,416.0,0.3288537549407114
G06099.0,1860,563,204.0,0.3623445825932504
G0601010,1860,755,502.0,0.6649006622516557
G0601130,1860,887,508.0,0.5727170236753101
G0601150,1860,3733,334.0,0.0894722743102062
G0905.00,1860,9858,3408.0,0.3457090687766281
G0909.00,1860,18959,3074.0,0.1621393533414209
G13051.0,1860,2864,173.0,0.0604050279329608
G13053.0,1860,555,364.0,0.6558558558558558
G13055.0,1860,878,561.0,0.6389521640091116
G13057.0,1860,1968,891.0,0.4527439024390244
G13059.0,1860,1007,348.0,0.3455809334657398
G13063.0,1860,546,317.0,0.5805860805860806
G13065.0,1860,396,131.0,0.3308080808080808
G13069.0,1860,365,297.0,0.8136986301369863
G13073.0,1860,726,337.0,0.4641873278236915
G13093.0,1860,829,599.0,0.7225572979493365
G13095.0,1860,498,123.0,0.2469879518072289
G1301010,1860,192,107.0,0.5572916666666666
G1301050,1860,905,649.0,0.7171270718232045
G1301070,1860,636,526.0,0.8270440251572327
G1301110,1860,884,314.0,0.3552036199095023
G1301150,1860,1523,819.0,0.5377544320420223
G1301170,1860,1218,395.0,0.3243021346469622
G1301190,1860,1101,823.0,0.7475022706630337
G1301250,1860,330,202.0,0.6121212121212121
G1301290,1860,1383,890.0,0.64352856109906
G1301370,1860,946,680.0,0.718816067653277
G1301410,1860,884,328.0,0.3710407239819004
G1301430,1860,475,388.0,0.8168421052631579
G1301490,1860,805,613.0,0.7614906832298136
G1301530,1860,925,442.0,0.4778378378378378
G1301590,1860,711,447.0,0.6286919831223629
G1301670,1860,340,236.0,0.6941176470588235
G1301750,1860,638,477.0,0.7476489028213166
G1301770,1860,458,235.0,0.5131004366812227
G1301790,1860,458,308.0,0.6724890829694323
G1301810,1860,300,178.0,0.5933333333333334
G1301930,1860,637,425.0,0.6671899529042387
G1301970,1860,678,391.0,0.5766961651917404
G1301990,1860,1173,820.0,0.6990622335890878
G1302010,1860,173,96.0,0.5549132947976878
G1302030,1860,754,238.0,0.3156498673740053
G1302070,1860,1041,630.0,0.6051873198847262
G1302090,1860,341,64.0,0.187683284457478
G1302130,1860,966,365.0,0.3778467908902691
G1302150,1860,1859,405.0,0.2178590640129101
G1302170,1860,1343,601.0,0.4475055845122859
G1302210,1860,749,482.0,0.6435246995994659
G1302230,1860,1171,674.0,0.5755764304013663
G1302270,1860,835,608.0,0.7281437125748503
G1302290,1860,307,230.0,0.749185667752443
G1302310,1860,952,655.0,0.6880252100840336
G1302330,1860,724,483.0,0.6671270718232044
G1302370,1860,531,316.0,0.5951035781544256
G1302390,1860,323,211.0,0.653250773993808
G1302410,1860,528,469.0,0.8882575757575758
G1302430,1860,884,533.0,0.6029411764705882
G1302450,1860,2520,349.0,0.1384920634920635
G1302550,1860,849,384.0,0.4522968197879858
G1302650,1860,330,220.0,0.6666666666666666
G1302670,1860,563,95.0,0.1687388987566607
G1302690,1860,640,381.0,0.5953125
G1302710,1860,306,90.0,0.2941176470588235
G1302730,1860,620,320.0,0.5161290322580645
G1302750,1860,1369,493.0,0.3601168736303871
G1302850,1860,1045,242.0,0.231578947368421
G1302890,1860,555,335.0,0.6036036036036037
G1302910,1860,745,666.0,0.8939597315436242
G1302930,1860,891,535.0,0.6004489337822672
G1302950,1860,1462,1093.0,0.7476060191518468
G1302970,1860,1215,533.0,0.4386831275720164
G1303010,1860,804,419.0,0.5211442786069652
G1302990,1860,306,220.0,0.7189542483660131
G1701150,1860,2409,1371.0,0.5691158156911582
G1701130,1860,4728,2284.0,0.4830795262267343
G1701190,1860,5392,1541.0,0.2857937685459941
G1701410,1860,4016,2356.0,0.5866533864541833
G1701490,1860,4739,2577.0,0.5437856087782232
G1701550,1860,994,519.0,0.5221327967806841
G1701590,1860,1672,956.0,0.5717703349282297
G18035.0,1860,2815,1360.0,0.4831261101243339
G18039.0,1860,3735,2219.0,0.5941097724230254
G18051.0,1860,2579,1604.0,0.6219464908879411
G18055.0,1860,2802,2076.0,0.7408993576017131
G18067.0,1860,2193,885.0,0.4035567715458276
G18069.0,1860,2576,1643.0,0.6378105590062112
G18071.0,1860,2856,1816.0,0.6358543417366946
G18073.0,1860,766,572.0,0.7467362924281984
G18079.0,1860,2617,1152.0,0.4401987008024455
G18085.0,1860,3059,1847.0,0.603792088917947
G18087.0,1860,2128,1237.0,0.581296992481203
G18091.0,1860,4261,1663.0,0.39028397089885
G18093.0,1860,2309,1125.0,0.4872239064530099
G18095.0,1860,2962,1822.0,0.6151249155975692
G18099.0,1860,2238,1421.0,0.6349419124218052
G1801710,1860,1796,984.0,0.5478841870824054
G1801730,1860,2404,1711.0,0.711730449251248
G1801750,1860,3190,1807.0,0.5664576802507837
G1801810,1860,1504,974.0,0.6476063829787234
G1801830,1860,1927,1318.0,0.6839647119875454
G1801770,1860,5398,1898.0,0.3516117080400148
G1801790,1860,1921,1337.0,0.6959916710046851
G1901.00,1860,181,142.0,0.7845303867403315
G1905.00,1860,2206,1590.0,0.7207615593834995
G1907.00,1860,2075,1414.0,0.6814457831325301
G19011.0,1860,1613,1183.0,0.7334159950402975
G19015.0,1860,727,550.0,0.7565337001375516
